company_name,domain,notes
Google,google.com,Bay Area; education/community programs
Salesforce,salesforce.com,1-1-1 model; community engagement
Adobe,adobe.com,Bay Area; community and education
Patagonia,patagonia.com,B Corp; environmental and community
Clif Bar,clifbar.com,Berkeley-based B Corp; community focus
REI,rei.com,Community grants; outdoor/volunteer alignment
Target,target.com,Target Circle; community giving
Wells Fargo,wellsfargo.com,Community support; Bay Area presence
PG&E,pge.com,Northern California utility; community initiatives
Safeway,safeway.com,Bay Area grocery; local partnerships
Bank of America,bankofamerica.com,Community development; student programs
Cisco,cisco.com,CSR; Net Academy and community
Intel,intel.com,Education and community investment
Kaiser Permanente,kp.org,Bay Area healthcare; community health
Genentech,gene.com,South San Francisco biotech; community giving
North Face,northface.com,Bay Area; outdoor and community
New Belgium Brewing,newbelgium.com,B Corp; community and sustainability
Ben & Jerry's,benjerry.com,Social mission; community focus
Whole Foods Market,wholefoodsmarket.com,Bay Area; community and local
Trader Joe's,traderjoes.com,Community giving; Bay Area stores
